Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Forgot Password_password""), Password)",Chrome 121.0.0.0,,,10-02-2024 23:58:33,10-02-2024 23:58:33,0.105s,FAILED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,10-02-2024 23:58:33,10-02-2024 23:58:33,0.164s,PASSED
,,,,,,,
Test Cases/Amazon_Data_Driven/Amazon_TC_SignIn,Chrome 121.0.0.0,,,10-02-2024 23:58:33,10-02-2024 23:58:41,7.902s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,10-02-2024 23:58:33,10-02-2024 23:58:34,0.836s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,10-02-2024 23:58:34,10-02-2024 23:58:35,0.974s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,10-02-2024 23:58:35,10-02-2024 23:58:36,1.102s,PASSED
"click(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,10-02-2024 23:58:36,10-02-2024 23:58:37,1.607s,PASSED
"setText(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Email or mobile phone number_email""), Username)",Chrome 121.0.0.0,,,10-02-2024 23:58:37,10-02-2024 23:58:39,1.838s,PASSED
"click(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,10-02-2024 23:58:39,10-02-2024 23:58:41,1.244s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Forgot Password_password""), Password)",Chrome 121.0.0.0,,,10-02-2024 23:58:41,10-02-2024 23:58:41,0.109s,FAILED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,10-02-2024 23:58:41,10-02-2024 23:58:41,0.165s,PASSED
,,,,,,,
Test Cases/Amazon_Data_Driven/Amazon_TC_SignIn,Chrome 121.0.0.0,,,10-02-2024 23:58:41,10-02-2024 23:58:50,8.798s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,10-02-2024 23:58:41,10-02-2024 23:58:42,0.853s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,10-02-2024 23:58:42,10-02-2024 23:58:43,0.993s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,10-02-2024 23:58:43,10-02-2024 23:58:44,1.250s,PASSED
"click(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,10-02-2024 23:58:44,10-02-2024 23:58:46,1.554s,PASSED
"setText(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Email or mobile phone number_email""), Username)",Chrome 121.0.0.0,,,10-02-2024 23:58:46,10-02-2024 23:58:47,1.851s,PASSED
"click(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,10-02-2024 23:58:47,10-02-2024 23:58:49,1.933s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_SignIn_OR/Page_Amazon Sign In/input_Forgot Password_password""), Password)",Chrome 121.0.0.0,,,10-02-2024 23:58:49,10-02-2024 23:58:49,0.130s,FAILED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,10-02-2024 23:58:49,10-02-2024 23:58:50,0.202s,PASSED
