Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Search_Element,Chrome 121.0.0.0,,,10-02-2024 22:35:13,10-02-2024 22:35:30,16.787s,ERROR
,,,,,,,
Test Cases/Amazon_Data_Driven/Amazon_TC_Search,Chrome 121.0.0.0,,,10-02-2024 22:35:26,10-02-2024 22:35:30,3.682s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,10-02-2024 22:35:26,10-02-2024 22:35:27,0.900s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,10-02-2024 22:35:27,10-02-2024 22:35:28,1.007s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,10-02-2024 22:35:28,10-02-2024 22:35:30,1.290s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_Search_Item_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _a62561""), groovy.lang.Category, true)",Chrome 121.0.0.0,,,10-02-2024 22:35:30,10-02-2024 22:35:30,0.093s,ERROR
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,10-02-2024 22:35:30,10-02-2024 22:35:30,0.215s,PASSED
